ccxNodeId,foamPointLabel,x,y,z
1,8607,1.00236,-0.0881502,0.1
2,8580,1.004,-0.0890014,0.1
3,21738,1.004,-0.0890014,0.15
4,21765,1.00236,-0.0881502,0.15
5,12036,0.952897,-0.084872,0.1
6,12037,0.94756,-0.0844413,0.1
7,25195,0.94756,-0.0844413,0.15
8,25194,0.952897,-0.084872,0.15
9,12040,0.958249,-0.0852761,0.1
10,25198,0.958249,-0.0852761,0.15
11,12045,0.140065,-0.0412148,0.1
12,12046,0.134709,-0.0407917,0.1
13,25204,0.134709,-0.0407917,0.15
14,25203,0.140065,-0.0412148,0.15
15,12051,0.0440394,0.0389468,0.1
16,12052,0.0482783,0.0406844,0.1
17,25210,0.0482783,0.0406844,0.15
18,25209,0.0440394,0.0389468,0.15
19,12057,0.559146,0.0381017,0.1
20,12058,0.563662,0.0372154,0.1
21,25216,0.563662,0.0372154,0.15
22,25215,0.559146,0.0381017,0.15
23,12061,0.129366,-0.0403371,0.1
24,25219,0.129366,-0.0403371,0.15
25,12066,0.735779,-0.0028717,0.1
26,12067,0.743356,-0.00488488,0.1
27,25225,0.743356,-0.00488488,0.15
28,25224,0.735779,-0.0028717,0.15
29,12072,0.903463,-0.0531327,0.1
30,12073,0.907856,-0.0545707,0.1
31,25231,0.907856,-0.0545707,0.15
32,25230,0.903463,-0.0531327,0.15
33,12078,0.995066,-0.0882592,0.1
34,12079,0.990347,-0.0878927,0.1
35,25237,0.990347,-0.0878927,0.15
36,25236,0.995066,-0.0882592,0.15
37,12082,0.055694,0.0434126,0.1
38,25240,0.055694,0.0434126,0.15
39,12087,0.00654038,0.0161572,0.1
40,12088,0.0121963,0.0214907,0.1
41,25246,0.0121963,0.0214907,0.15
42,25245,0.00654038,0.0161572,0.15
43,12093,0.694562,-0.0672861,0.1
44,12094,0.68919,-0.0669854,0.1
45,25252,0.68919,-0.0669854,0.15
46,25251,0.694562,-0.0672861,0.15
47,12099,0.678496,-0.0663887,0.1
48,12100,0.673414,-0.0661052,0.1
49,25258,0.673414,-0.0661052,0.15
50,25257,0.678496,-0.0663887,0.15
51,12103,0.699925,-0.0676033,0.1
52,25261,0.699925,-0.0676033,0.15
53,12108,0.716014,-0.0685542,0.1
54,12109,0.710651,-0.0682377,0.1
55,25267,0.710651,-0.0682377,0.15
56,25266,0.716014,-0.0685542,0.15
57,12114,0.763795,-0.0713974,0.1
58,12115,0.758859,-0.0710778,0.1
59,25273,0.758859,-0.0710778,0.15
60,25272,0.763795,-0.0713974,0.15
61,12120,0.79514,-0.0193544,0.1
62,12121,0.802701,-0.0215789,0.1
63,25279,0.802701,-0.0215789,0.15
64,25278,0.79514,-0.0193544,0.15
65,12126,0.937145,-0.0836625,0.1
66,12127,0.932668,-0.0833009,0.1
67,25285,0.932668,-0.0833009,0.15
68,25284,0.937145,-0.0836625,0.15
69,12129,1.00277,-0.0889025,0.1
70,25287,1.00277,-0.0889025,0.15
71,12134,0.974296,-0.086578,0.1
72,12135,0.968946,-0.0861687,0.1
73,25293,0.968946,-0.0861687,0.15
74,25292,0.974296,-0.086578,0.15
75,12140,0.968182,-0.075624,0.1
76,12141,0.972489,-0.0771835,0.1
77,25299,0.972489,-0.0771835,0.15
78,25298,0.968182,-0.075624,0.15
79,12146,0.172628,0.0673466,0.1
80,12147,0.177909,0.0678777,0.1
81,25305,0.177909,0.0678777,0.15
82,25304,0.172628,0.0673466,0.15
83,12150,0.183244,0.0683825,0.1
84,25308,0.183244,0.0683825,0.15
85,12155,0.193923,0.0692791,0.1
86,12156,0.199279,0.0696493,0.1
87,25314,0.199279,0.0696493,0.15
88,25313,0.193923,0.0692791,0.15
89,12161,0.34459,0.0688976,0.1
90,12162,0.34994,0.0684888,0.1
91,25320,0.34994,0.0684888,0.15
92,25319,0.34459,0.0688976,0.15
93,12167,0.328516,0.0699696,0.1
94,12168,0.333877,0.0696371,0.1
95,25326,0.333877,0.0696371,0.15
96,25325,0.328516,0.0699696,0.15
97,12171,0.355291,0.06808,0.1
98,25329,0.355291,0.06808,0.15
99,12176,0.365913,0.0671155,0.1
100,12177,0.370983,0.0666493,0.1
101,25335,0.370983,0.0666493,0.15
102,25334,0.365913,0.0671155,0.15
103,12182,0.161022,-0.0426295,0.1
104,12183,0.156087,-0.0423016,0.1
105,25341,0.156087,-0.0423016,0.15
106,25340,0.161022,-0.0426295,0.15
107,12186,0.150777,-0.0419382,0.1
108,25344,0.150777,-0.0419382,0.15
109,12191,0.824016,-0.0279376,0.1
110,12192,0.82847,-0.029303,0.1
111,25350,0.82847,-0.029303,0.15
112,25349,0.824016,-0.0279376,0.15
113,12197,0.882377,-0.0461785,0.1
114,12198,0.88674,-0.0475906,0.1
115,25356,0.88674,-0.0475906,0.15
116,25355,0.882377,-0.0461785,0.15
117,12203,0.539045,0.0419681,0.1
118,12204,0.543877,0.0410528,0.1
119,25362,0.543877,0.0410528,0.15
120,25361,0.539045,0.0419681,0.15
121,12207,0.549029,0.0400769,0.1
122,25365,0.549029,0.0400769,0.15
123,12212,0.651887,0.0181129,0.1
124,12213,0.656625,0.0170098,0.1
125,25371,0.656625,0.0170098,0.15
126,25370,0.651887,0.0181129,0.15
127,12218,0.113355,-0.0389032,0.1
128,12219,0.108075,-0.0383793,0.1
129,25377,0.108075,-0.0383793,0.15
130,25376,0.113355,-0.0389032,0.15
131,12222,0.118683,-0.0393971,0.1
132,25380,0.118683,-0.0393971,0.15
133,12227,0.565452,-0.060686,0.1
134,12228,0.560369,-0.0604416,0.1
135,25386,0.560369,-0.0604416,0.15
136,25385,0.565452,-0.060686,0.15
137,12233,0.608372,-0.0627347,0.1
138,12234,0.603002,-0.0624799,0.1
139,25392,0.603002,-0.0624799,0.15
140,25391,0.608372,-0.0627347,0.15
141,12239,0.592263,-0.0619691,0.1
142,12240,0.586893,-0.0617122,0.1
143,25398,0.586893,-0.0617122,0.15
144,25397,0.592263,-0.0619691,0.15
145,12243,0.570784,-0.0609415,0.1
146,25401,0.570784,-0.0609415,0.15
147,12246,0.581523,-0.0614553,0.1
148,25404,0.581523,-0.0614553,0.15
149,12249,0.66892,-0.0658645,0.1
150,25407,0.66892,-0.0658645,0.15
151,12254,0.65663,-0.0652142,0.1
152,12255,0.651315,-0.064933,0.1
153,25413,0.651315,-0.064933,0.15
154,25412,0.65663,-0.0652142,0.15
155,12258,0.613741,-0.0629895,0.1
156,25416,0.613741,-0.0629895,0.15
157,12263,0.629848,-0.0637824,0.1
158,12264,0.624481,-0.0634991,0.1
159,25422,0.624481,-0.0634991,0.15
160,25421,0.629848,-0.0637824,0.15
161,12267,0.645948,-0.0646464,0.1
162,25425,0.645948,-0.0646464,0.15
163,12270,0.635215,-0.0640704,0.1
164,25428,0.635215,-0.0640704,0.15
165,12275,0.737469,-0.0698078,0.1
166,12276,0.732105,-0.0694965,0.1
167,25434,0.732105,-0.0694965,0.15
168,25433,0.737469,-0.0698078,0.15
169,12279,0.721378,-0.0688683,0.1
170,25437,0.721378,-0.0688683,0.15
171,12284,0.752809,-0.00747,0.1
172,12285,0.757268,-0.00868932,0.1
173,25443,0.757268,-0.00868932,0.15
174,25442,0.752809,-0.00747,0.15
175,12288,0.742833,-0.0701164,0.1
176,25446,0.742833,-0.0701164,0.15
177,12291,0.753551,-0.0707343,0.1
178,25449,0.753551,-0.0707343,0.15
179,12294,0.807323,-0.0229387,0.1
180,25452,0.807323,-0.0229387,0.15
181,12297,0.816485,-0.0256769,0.1
182,25455,0.816485,-0.0256769,0.15
183,12300,0.979648,-0.0870197,0.1
184,25458,0.979648,-0.0870197,0.15
185,12305,0.155572,0.0653265,0.1
186,12306,0.163075,0.0662727,0.1
187,25464,0.163075,0.0662727,0.15
188,25463,0.155572,0.0653265,0.15
189,12311,0.134936,0.0624123,0.1
190,12312,0.140152,0.0632237,0.1
191,25470,0.140152,0.0632237,0.15
192,25469,0.134936,0.0624123,0.15
193,12315,0.15067,0.0646969,0.1
194,25473,0.15067,0.0646969,0.15
195,12318,0.129926,0.0615995,0.1
196,25476,0.129926,0.0615995,0.15
197,12323,0.215385,0.0706137,0.1
198,12324,0.220755,0.0708768,0.1
199,25482,0.220755,0.0708768,0.15
200,25481,0.215385,0.0706137,0.15
201,12327,0.204643,0.0700007,0.1
202,25485,0.204643,0.0700007,0.15
203,12330,0.226147,0.0710904,0.1
204,25488,0.226147,0.0710904,0.15
205,12335,0.307002,0.0710483,0.1
206,12336,0.3124,0.0708115,0.1
207,25494,0.3124,0.0708115,0.15
208,25493,0.307002,0.0710483,0.15
209,12339,0.323139,0.0702981,0.1
210,25497,0.323139,0.0702981,0.15
211,12342,0.301626,0.0712229,0.1
212,25500,0.301626,0.0712229,0.15
213,12345,0.375484,0.0662194,0.1
214,25503,0.375484,0.0662194,0.15
215,12350,0.387868,0.0649724,0.1
216,12351,0.393162,0.0644176,0.1
217,25509,0.393162,0.0644176,0.15
218,25508,0.387868,0.0649724,0.15
219,12356,0.414322,0.0618159,0.1
220,12357,0.419363,0.0611475,0.1
221,25515,0.419363,0.0611475,0.15
222,25514,0.414322,0.0618159,0.15
223,12360,0.398466,0.0637733,0.1
224,25518,0.398466,0.0637733,0.15
225,12363,0.409073,0.0624846,0.1
226,25521,0.409073,0.0624846,0.15
227,12366,0.644298,0.0198798,0.1
228,25524,0.644298,0.0198798,0.15
229,12371,0.769305,-0.012054,0.1
230,12372,0.773716,-0.0132957,0.1
231,25530,0.773716,-0.0132957,0.15
232,25529,0.769305,-0.012054,0.15
233,12377,0.86683,-0.078349,0.1
234,12378,0.861509,-0.0779844,0.1
235,25536,0.861509,-0.0779844,0.15
236,25535,0.86683,-0.078349,0.15
237,12381,0.856432,-0.0776336,0.1
238,25539,0.856432,-0.0776336,0.15
239,12384,0.872186,-0.078716,0.1
240,25542,0.872186,-0.078716,0.15
241,12387,0.877556,-0.0791301,0.1
242,25545,0.877556,-0.0791301,0.15
243,12390,0.942224,-0.0840255,0.1
244,25548,0.942224,-0.0840255,0.15
245,12393,0.963606,-0.08572,0.1
246,25551,0.963606,-0.08572,0.15
247,12396,0.145423,-0.0415721,0.1
248,25554,0.145423,-0.0415721,0.15
249,12401,0.870442,-0.0423492,0.1
250,12402,0.877955,-0.0447469,0.1
251,25560,0.877955,-0.0447469,0.15
252,25559,0.870442,-0.0423492,0.15
253,12405,0.039828,0.037197,0.1
254,25563,0.039828,0.037197,0.15
255,12408,0.554181,0.0390762,0.1
256,25566,0.554181,0.0390762,0.15
257,12413,0.0910224,-0.036454,0.1
258,12414,0.0861135,-0.0358225,0.1
259,25572,0.0861135,-0.0358225,0.15
260,25571,0.0910224,-0.036454,0.15
261,12417,0.0808727,-0.0351114,0.1
262,25575,0.0808727,-0.0351114,0.15
263,12420,0.0985197,-0.0373488,0.1
264,25578,0.0985197,-0.0373488,0.15
265,12423,0.103028,-0.0378478,0.1
266,25581,0.103028,-0.0378478,0.15
267,12426,0.124024,-0.039861,0.1
268,25584,0.124024,-0.039861,0.15
269,12429,0.74802,-0.00616036,0.1
270,25587,0.74802,-0.00616036,0.15
271,12434,0.909663,-0.0814915,0.1
272,12435,0.904314,-0.081094,0.1
273,25593,0.904314,-0.081094,0.15
274,25592,0.909663,-0.0814915,0.15
275,12438,0.898959,-0.0807167,0.1
276,25596,0.898959,-0.0807167,0.15
277,12441,0.898792,-0.0516034,0.1
278,25599,0.898792,-0.0516034,0.15
279,12444,0.915013,-0.0819046,0.1
280,25602,0.915013,-0.0819046,0.15
281,12447,0.920317,-0.0823041,0.1
282,25605,0.920317,-0.0823041,0.15
283,12452,0.915316,-0.0571262,0.1
284,12453,0.919709,-0.0586277,0.1
285,25611,0.919709,-0.0586277,0.15
286,25610,0.915316,-0.0571262,0.15
287,12456,0.985031,-0.0874714,0.1
288,25614,0.985031,-0.0874714,0.15
289,12461,0.466839,0.054298,0.1
290,12462,0.474385,0.0531381,0.1
291,25620,0.474385,0.0531381,0.15
292,25619,0.466839,0.054298,0.15
293,12465,0.571243,0.0357275,0.1
294,25623,0.571243,0.0357275,0.15
295,12468,0.576065,0.0347811,0.1
296,25626,0.576065,0.0347811,0.15
297,12473,0.0159357,-0.0181008,0.1
298,12474,0.012178,-0.0159818,0.1
299,25632,0.012178,-0.0159818,0.15
300,25631,0.0159357,-0.0181008,0.15
301,12477,0.683825,-0.066686,0.1
302,25635,0.683825,-0.066686,0.15
303,12480,0.705288,-0.0679205,0.1
304,25638,0.705288,-0.0679205,0.15
305,12483,0.764809,-0.0107888,0.1
306,25641,0.764809,-0.0107888,0.15
307,12486,0.771177,-0.0718751,0.1
308,25644,0.771177,-0.0718751,0.15
309,12489,0.851932,-0.0773221,0.1
310,25647,0.851932,-0.0773221,0.15
311,12492,0.844538,-0.0768092,0.1
312,25650,0.844538,-0.0768092,0.15
313,12497,0.888251,-0.0799488,0.1
314,12498,0.882905,-0.0795508,0.1
315,25656,0.882905,-0.0795508,0.15
316,25655,0.888251,-0.0799488,0.15
317,12503,0.956402,-0.0713406,0.1
318,12504,0.963844,-0.0740114,0.1
319,25662,0.963844,-0.0740114,0.15
320,25661,0.956402,-0.0713406,0.15
321,12507,0.167598,0.0668111,0.1
322,25665,0.167598,0.0668111,0.15
323,12510,0.188577,0.0688433,0.1
324,25668,0.188577,0.0688433,0.15
325,12513,0.339238,0.0693046,0.1
326,25671,0.339238,0.0693046,0.15
327,12516,0.360611,0.0676031,0.1
328,25674,0.360611,0.0676031,0.15
329,12519,0.832853,-0.030647,0.1
330,25677,0.832853,-0.030647,0.15
331,12522,0.0185381,0.0259693,0.1
332,25680,0.0185381,0.0259693,0.15
333,12527,0.022097,0.0282351,0.1
334,12528,0.0289023,0.0320577,0.1
335,25686,0.0289023,0.0320577,0.15
336,25685,0.022097,0.0282351,0.15
337,12531,0.0327263,0.0340139,0.1
338,25689,0.0327263,0.0340139,0.15
339,12534,0.661477,0.0158711,0.1
340,25692,0.661477,0.0158711,0.15
341,12539,0.665966,0.0147919,0.1
342,12540,0.673555,0.0129674,0.1
343,25698,0.673555,0.0129674,0.15
344,25697,0.665966,0.0147919,0.15
345,12545,0.0756001,-0.0343525,0.1
346,12546,0.0704187,-0.0335129,0.1
347,25704,0.0704187,-0.0335129,0.15
348,25703,0.0756001,-0.0343525,0.15
349,12551,0.0609081,-0.0318034,0.1
350,12552,0.0533366,-0.0302848,0.1
351,25710,0.0533366,-0.0302848,0.15
352,25709,0.0609081,-0.0318034,0.15
353,12555,0.0654274,-0.0326129,0.1
354,25713,0.0654274,-0.0326129,0.15
355,12558,0.555887,-0.060226,0.1
356,25716,0.555887,-0.060226,0.15
357,12561,0.597632,-0.0622251,0.1
358,25719,0.597632,-0.0622251,0.15
359,12564,0.576154,-0.0611984,0.1
360,25722,0.576154,-0.0611984,0.15
361,12567,0.661568,-0.0654755,0.1
362,25725,0.661568,-0.0654755,0.15
363,12570,0.619111,-0.0632443,0.1
364,25728,0.619111,-0.0632443,0.15
365,12573,0.640581,-0.0643584,0.1
366,25731,0.640581,-0.0643584,0.15
367,12576,0.726741,-0.0691824,0.1
368,25734,0.726741,-0.0691824,0.15
369,12579,0.748197,-0.0704251,0.1
370,25737,0.748197,-0.0704251,0.15
371,12582,0.812056,-0.0243488,0.1
372,25740,0.812056,-0.0243488,0.15
373,12585,0.893605,-0.0803353,0.1
374,25743,0.893605,-0.0803353,0.15
