patchPointI,x,y,z,phi_x,phi_y,phi_z,sourceNodeId,sourceDistance
0,1.00236,-0.0881502,0.1,0,0,0,1,0
1,1.004,-0.0890014,0.1,0,0,0,2,0
2,1.004,-0.0890014,0.15,0.000224619799217,-0.00169966089548,-0.000255139517358,3,0
3,1.00236,-0.0881502,0.15,-0.000881311635412,-0.00380834360165,-0.000191143964556,4,0
4,0.952897,-0.084872,0.1,0,0,0,5,0
5,0.94756,-0.0844413,0.1,0,0,0,6,0
6,0.94756,-0.0844413,0.15,-0.00950226874936,-0.126734054592,9.65159321448e-05,7,0
7,0.952897,-0.084872,0.15,-0.008445438739,-0.112886379039,4.13674578985e-05,8,0
8,0.958249,-0.0852761,0.1,0,0,0,9,0
9,0.958249,-0.0852761,0.15,-0.00746644350894,-0.0991736612222,0.000120450609832,10,0
10,0.140065,-0.0412148,0.1,0,0,0,11,0
11,0.134709,-0.0407917,0.1,2.66212206791e-24,0,0,12,0
12,0.134709,-0.0407917,0.15,-0.00256367100736,-0.0431639576833,-0.000292936735159,13,0
13,0.140065,-0.0412148,0.15,-0.00316286364671,-0.0525007420383,-0.000339931273947,14,0
14,0.0440394,0.0389468,0.1,0,0,0,15,0
15,0.0482783,0.0406844,0.1,0,0,0,16,0
16,0.0482783,0.0406844,0.15,1.11030421013e-05,-1.38998926015e-05,1.44606727228e-06,17,0
17,0.0440394,0.0389468,0.15,1.75359571559e-05,-2.87740877377e-05,1.9950221229e-06,18,0
18,0.559146,0.0381017,0.1,-5.19945725818e-27,0,0,19,0
19,0.563662,0.0372154,0.1,0,0,0,20,0
20,0.563662,0.0372154,0.15,1.15875282072e-05,5.99806129318e-05,-1.80756271878e-07,21,0
21,0.559146,0.0381017,0.15,1.09238829148e-05,5.68000194249e-05,-1.63639097057e-07,22,0
22,0.129366,-0.0403371,0.1,1.33106103396e-24,0,0,23,0
23,0.129366,-0.0403371,0.15,-0.00197415843521,-0.0347457991337,-0.000230583022326,24,0
24,0.735779,-0.0028717,0.1,-1.66382604102e-25,0,0,25,0
25,0.743356,-0.00488488,0.1,1.66382604102e-25,0,0,26,0
26,0.743356,-0.00488488,0.15,-0.000181554512847,-0.000598982946461,2.38165054385e-06,27,0
27,0.735779,-0.0028717,0.15,-0.000145365141636,-0.000476327896184,1.6294454595e-06,28,0
28,0.903463,-0.0531327,0.1,1.33106103396e-24,0,0,29,0
29,0.907856,-0.0545707,0.1,0,0,0,30,0
30,0.907856,-0.0545707,0.15,-0.00433069913619,-0.0129304577578,5.64442455267e-05,31,0
31,0.903463,-0.0531327,0.15,-0.00410130014952,-0.0122744861187,3.95616049059e-05,32,0
32,0.995066,-0.0882592,0.1,0,0,0,33,0
33,0.990347,-0.0878927,0.1,-5.32424413583e-24,0,0,34,0
34,0.990347,-0.0878927,0.15,-0.00163013940718,-0.0250068067297,-9.82251956669e-05,35,0
35,0.995066,-0.0882592,0.15,-0.000966681882874,-0.0162690299614,-0.000125797426376,36,0
36,0.055694,0.0434126,0.1,4.1595656054e-26,0,0,37,0
37,0.055694,0.0434126,0.15,2.585988968e-06,8.00891145738e-06,6.19339549483e-07,38,0
38,0.00654038,0.0161572,0.1,0,0,0,39,0
39,0.0121963,0.0214907,0.1,0,0,0,40,0
40,0.0121963,0.0214907,0.15,6.37830036693e-05,-0.000117235218369,4.33803687856e-06,41,0
41,0.00654038,0.0161572,0.15,4.15430568317e-05,-9.39555367716e-05,-1.56856814549e-06,42,0
42,0.694562,-0.0672861,0.1,-5.32424413583e-24,0,0,43,0
43,0.68919,-0.0669854,0.1,0,0,0,44,0
44,0.68919,-0.0669854,0.15,-0.0438765916587,-0.783234803747,0.000721038184575,45,0
45,0.694562,-0.0672861,0.15,-0.0435657232151,-0.771615001944,0.000852884219795,46,0
46,0.678496,-0.0663887,0.1,5.32424413583e-24,0,0,47,0
47,0.673414,-0.0661052,0.1,-5.32424413583e-24,0,0,48,0
48,0.673414,-0.0661052,0.15,-0.0447159666282,-0.816253839808,0.000818869217963,49,0
49,0.678496,-0.0663887,0.15,-0.0444613280606,-0.805822699971,0.000696498887376,50,0
50,0.699925,-0.0676033,0.1,0,0,0,51,0
51,0.699925,-0.0676033,0.15,-0.0431990070695,-0.759851683717,0.000568576371963,52,0
52,0.716014,-0.0685542,0.1,0,0,0,53,0
53,0.710651,-0.0682377,0.1,0,0,0,54,0
54,0.710651,-0.0682377,0.15,-0.0423727668198,-0.735740220345,0.000215542159061,55,0
55,0.716014,-0.0685542,0.15,-0.0419194077871,-0.723339978839,0.000117840964289,56,0
56,0.763795,-0.0713974,0.1,2.66212206791e-24,0,0,57,0
57,0.758859,-0.0710778,0.1,1.06484862602e-23,0,0,58,0
58,0.758859,-0.0710778,0.15,-0.0380784174674,-0.618246431038,0.000830413590671,59,0
59,0.763795,-0.0713974,0.15,-0.0375837232905,-0.606204729163,0.000568368087089,60,0
60,0.79514,-0.0193544,0.1,0,0,0,61,0
61,0.802701,-0.0215789,0.1,-1.66382604102e-25,0,0,62,0
62,0.802701,-0.0215789,0.15,-0.000760163759026,-0.00246239990438,8.50629392715e-06,63,0
63,0.79514,-0.0193544,0.15,-0.000645809026937,-0.00210603464207,9.21665698391e-06,64,0
64,0.937145,-0.0836625,0.1,-5.32424413583e-24,0,0,65,0
65,0.932668,-0.0833009,0.1,-2.66212206791e-24,0,0,66,0
66,0.932668,-0.0833009,0.15,-0.0122966019293,-0.165706256549,-6.36933838472e-06,67,0
67,0.937145,-0.0836625,0.15,-0.011411456585,-0.154019171994,-9.51506454104e-05,68,0
68,1.00277,-0.0889025,0.1,0,0,0,69,0
69,1.00277,-0.0889025,0.15,7.88786385141e-05,-0.00352532458562,-0.000233262666069,70,0
70,0.974296,-0.086578,0.1,0,0,0,71,0
71,0.968946,-0.0861687,0.1,0,0,0,72,0
72,0.968946,-0.0861687,0.15,-0.00534086870837,-0.0725635638203,-2.05454774753e-05,73,0
73,0.974296,-0.086578,0.15,-0.00440178753823,-0.0598031332999,1.90236401685e-05,74,0
74,0.968182,-0.075624,0.1,5.32424413583e-24,0,0,75,0
75,0.972489,-0.0771835,0.1,0,0,0,76,0
76,0.972489,-0.0771835,0.15,-0.0062885749441,-0.0182378801998,2.02911506813e-05,77,0
77,0.968182,-0.075624,0.15,-0.00646084795709,-0.0187080750065,2.53884678933e-05,78,0
78,0.172628,0.0673466,0.1,0,0,0,79,0
79,0.177909,0.0678777,0.1,0,0,0,80,0
80,0.177909,0.0678777,0.15,-4.15091740822e-08,-2.77093105179e-06,1.17435859762e-08,81,0
81,0.172628,0.0673466,0.15,-1.45369466237e-07,-1.89764316122e-06,4.0690617543e-10,82,0
82,0.183244,0.0683825,0.1,1.29986456598e-27,0,0,83,0
83,0.183244,0.0683825,0.15,3.32980030266e-08,-3.42979313391e-06,2.12239068704e-08,84,0
84,0.193923,0.0692791,0.1,-1.29986456598e-27,0,0,85,0
85,0.199279,0.0696493,0.1,0,0,0,86,0
86,0.199279,0.0696493,0.15,1.26044532091e-07,-4.32467687725e-06,3.29056309315e-08,87,0
87,0.193923,0.0692791,0.15,1.12249656905e-07,-4.18099149127e-06,3.3520951317e-08,88,0
88,0.34459,0.0688976,0.1,0,0,0,89,0
89,0.34994,0.0684888,0.1,-1.62483020461e-28,0,0,90,0
90,0.34994,0.0684888,0.15,-2.79803725138e-08,-8.73530369969e-07,5.40706125928e-09,91,0
91,0.34459,0.0688976,0.15,-2.50983675938e-08,-8.38770631539e-07,5.49199039739e-09,92,0
92,0.328516,0.0699696,0.1,0,0,0,93,0
93,0.333877,0.0696371,0.1,-8.12415202876e-29,0,0,94,0
94,0.333877,0.0696371,0.15,-1.78660047041e-08,-7.59841727076e-07,5.51101763804e-09,95,0
95,0.328516,0.0699696,0.15,-1.42056620384e-08,-7.2413640951e-07,5.52242251721e-09,96,0
96,0.355291,0.06808,0.1,1.62483020461e-28,0,0,97,0
97,0.355291,0.06808,0.15,-2.96883084839e-08,-8.98946555541e-07,6.08718630042e-09,98,0
98,0.365913,0.0671155,0.1,0,0,0,99,0
99,0.370983,0.0666493,0.1,-3.24966040922e-28,0,0,100,0
100,0.370983,0.0666493,0.15,-2.30812527919e-08,-8.7166666789e-07,3.97333619839e-09,101,0
101,0.365913,0.0671155,0.15,-2.78151425668e-08,-9.0223083891e-07,4.21142662825e-09,102,0
102,0.161022,-0.0426295,0.1,0,0,0,103,0
103,0.156087,-0.0423016,0.1,0,0,0,104,0
104,0.156087,-0.0423016,0.15,-0.00494216962077,-0.0854776484359,-0.000374544579361,105,0
105,0.161022,-0.0426295,0.15,-0.00555347315561,-0.0970455147924,-0.000445833924508,106,0
106,0.150777,-0.0419382,0.1,0,0,0,107,0
107,0.150777,-0.0419382,0.15,-0.00430077691706,-0.0737666981148,-0.000311579589141,108,0
108,0.824016,-0.0279376,0.1,0,0,0,109,0
109,0.82847,-0.029303,0.1,-3.32765208203e-25,0,0,110,0
110,0.82847,-0.029303,0.15,-0.00127120955564,-0.00403353666199,1.02171625804e-05,111,0
111,0.824016,-0.0279376,0.15,-0.00116885327941,-0.00372474704421,1.16289538662e-05,112,0
112,0.882377,-0.0461785,0.1,-1.33106103396e-24,0,0,113,0
113,0.88674,-0.0475906,0.1,1.33106103396e-24,0,0,114,0
114,0.88674,-0.0475906,0.15,-0.00326501073292,-0.00990902567576,3.8893826099e-05,115,0
115,0.882377,-0.0461785,0.15,-0.00306510452239,-0.00933340312002,3.39018984186e-05,116,0
116,0.539045,0.0419681,0.1,-2.59972812623e-27,0,0,117,0
117,0.543877,0.0410528,0.1,0,0,0,118,0
118,0.543877,0.0410528,0.15,8.72194068122e-06,4.61666994414e-05,-1.36273119665e-07,119,0
119,0.539045,0.0419681,0.15,8.07179820249e-06,4.29873329144e-05,-1.26734859169e-07,120,0
120,0.549029,0.0400769,0.1,5.19945725818e-27,0,0,121,0
121,0.549029,0.0400769,0.15,9.43900184162e-06,4.96841190579e-05,-1.64459564467e-07,122,0
122,0.651887,0.0181129,0.1,-8.3191312108e-26,0,0,123,0
123,0.656625,0.0170098,0.1,0,0,0,124,0
124,0.656625,0.0170098,0.15,1.12828449494e-05,6.83493201668e-05,-1.66991266612e-07,125,0
125,0.651887,0.0181129,0.15,1.31194931272e-05,7.48917079813e-05,-1.73356275367e-07,126,0
126,0.113355,-0.0389032,0.1,0,0,0,127,0
127,0.108075,-0.0383793,0.1,0,0,0,128,0
128,0.108075,-0.0383793,0.15,-6.72566542962e-05,-0.00961401443934,-9.1137958356e-05,129,0
129,0.113355,-0.0389032,0.15,-0.000482754957941,-0.0146110079378,-0.000121428975481,130,0
130,0.118683,-0.0393971,0.1,0,0,0,131,0
131,0.118683,-0.0393971,0.15,-0.00093508191952,-0.0204800854785,-0.000148549154595,132,0
132,0.565452,-0.060686,0.1,0,0,0,133,0
133,0.560369,-0.0604416,0.1,0,0,0,134,0
134,0.560369,-0.0604416,0.15,-0.0476825225351,-0.987334871953,3.20689714094e-05,135,0
135,0.565452,-0.060686,0.15,-0.0476359073543,-0.983584436776,-3.64516130319e-06,136,0
136,0.608372,-0.0627347,0.1,-6.65530516978e-25,0,0,137,0
137,0.603002,-0.0624799,0.1,1.33106103396e-24,0,0,138,0
138,0.603002,-0.0624799,0.15,-0.0468461747866,-0.940328163938,0.000274007351188,139,0
139,0.608372,-0.0627347,0.15,-0.0467209826033,-0.932235527191,0.000451315809418,140,0
140,0.592263,-0.0619691,0.1,5.32424413583e-24,0,0,141,0
141,0.586893,-0.0617122,0.1,5.32424413583e-24,0,0,142,0
142,0.586893,-0.0617122,0.15,-0.0472447823536,-0.961999646943,4.11644932896e-05,143,0
143,0.592263,-0.0619691,0.15,-0.0471139179023,-0.955251056098,6.69637882633e-05,144,0
144,0.570784,-0.0609415,0.1,5.32424413583e-24,0,0,145,0
145,0.570784,-0.0609415,0.15,-0.047564199428,-0.979058087642,-6.08006679958e-06,146,0
146,0.581523,-0.0614553,0.1,0,0,0,147,0
147,0.581523,-0.0614553,0.15,-0.0473655594205,-0.968231900491,2.18010701911e-05,148,0
148,0.66892,-0.0658645,0.1,0,0,0,149,0
149,0.66892,-0.0658645,0.15,-0.044908713109,-0.825245993657,0.000681344679325,150,0
150,0.65663,-0.0652142,0.1,0,0,0,151,0
151,0.651315,-0.064933,0.1,0,0,0,152,0
152,0.651315,-0.064933,0.15,-0.0456310020085,-0.858992870199,0.000282774022328,153,0
153,0.65663,-0.0652142,0.15,-0.0454153150256,-0.849010684335,0.000340310028576,154,0
154,0.613741,-0.0629895,0.1,-5.32424413583e-24,0,0,155,0
155,0.613741,-0.0629895,0.15,-0.0466087139383,-0.92379561489,0.00069148154512,156,0
156,0.629848,-0.0637824,0.1,0,0,0,157,0
157,0.624481,-0.0634991,0.1,0,0,0,158,0
158,0.624481,-0.0634991,0.15,-0.0464503631248,-0.906145709514,0.00151997068815,159,0
159,0.629848,-0.0637824,0.15,-0.0463421475164,-0.897080942591,0.00115992750316,160,0
160,0.645948,-0.0646464,0.1,-2.66212206791e-24,0,0,161,0
161,0.645948,-0.0646464,0.15,-0.0458413486115,-0.868847128318,0.000358672286325,162,0
162,0.635215,-0.0640704,0.1,5.32424413583e-24,0,0,163,0
163,0.635215,-0.0640704,0.15,-0.0462015677977,-0.887867530064,0.000792425989834,164,0
164,0.737469,-0.0698078,0.1,0,0,0,165,0
165,0.732105,-0.0694965,0.1,0,0,0,166,0
166,0.732105,-0.0694965,0.15,-0.0404696806951,-0.684733859423,0.000144762513452,167,0
167,0.737469,-0.0698078,0.15,-0.0399770482469,-0.671472720512,0.000271431598451,168,0
168,0.721378,-0.0688683,0.1,-1.06484862602e-23,0,0,169,0
169,0.721378,-0.0688683,0.15,-0.0414502991593,-0.710695145921,0.000110541539905,170,0
170,0.752809,-0.00747,0.1,0,0,0,171,0
171,0.757268,-0.00868932,0.1,-1.66382604102e-25,0,0,172,0
172,0.757268,-0.00868932,0.15,-0.000266808599503,-0.000881502521309,2.95700155484e-06,173,0
173,0.752809,-0.00747,0.15,-0.000236605683561,-0.00078118916669,2.49482636947e-06,174,0
174,0.742833,-0.0701164,0.1,1.33106103396e-24,0,0,175,0
175,0.742833,-0.0701164,0.15,-0.03949819418,-0.658093409353,0.000511632936685,176,0
176,0.753551,-0.0707343,0.1,0,0,0,177,0
177,0.753551,-0.0707343,0.15,-0.0385973696411,-0.631339011064,0.00122060970725,178,0
178,0.807323,-0.0229387,0.1,0,0,0,179,0
179,0.807323,-0.0229387,0.15,-0.000836591132981,-0.00270098213195,9.37569973363e-06,180,0
180,0.816485,-0.0256769,0.1,0,0,0,181,0
181,0.816485,-0.0256769,0.15,-0.00101057085496,-0.00323805840868,9.48114457987e-06,182,0
182,0.979648,-0.0870197,0.1,-2.66212206791e-24,0,0,183,0
183,0.979648,-0.0870197,0.15,-0.00342220798411,-0.0475356671156,-1.79705293154e-05,184,0
184,0.155572,0.0653265,0.1,0,0,0,185,0
185,0.163075,0.0662727,0.1,0,0,0,186,0
186,0.163075,0.0662727,0.15,-4.40091457217e-07,3.60204301531e-07,-2.76222753995e-08,187,0
187,0.155572,0.0653265,0.15,-7.78034118503e-07,2.70980532462e-06,-5.87810992339e-08,188,0
188,0.134936,0.0624123,0.1,0,0,0,189,0
189,0.140152,0.0632237,0.1,0,0,0,190,0
190,0.140152,0.0632237,0.15,-1.82346920633e-06,9.45379097285e-06,-1.52623834308e-07,191,0
191,0.134936,0.0624123,0.15,-2.32901511562e-06,1.23860809504e-05,-1.90077698869e-07,192,0
192,0.15067,0.0646969,0.1,-1.29986456598e-27,0,0,193,0
193,0.15067,0.0646969,0.15,-1.04366210181e-06,4.52359848665e-06,-8.62312454385e-08,194,0
194,0.129926,0.0615995,0.1,0,0,0,195,0
195,0.129926,0.0615995,0.15,-2.87976719014e-06,1.54640506593e-05,-2.33541552577e-07,196,0
196,0.215385,0.0706137,0.1,0,0,0,197,0
197,0.220755,0.0708768,0.1,-6.49932182415e-28,0,0,198,0
198,0.220755,0.0708768,0.15,1.02872311811e-07,-3.90785066953e-06,3.25869580908e-08,199,0
199,0.215385,0.0706137,0.15,1.15579700592e-07,-4.11828678172e-06,3.30908244456e-08,200,0
200,0.204643,0.0700007,0.1,0,0,0,201,0
201,0.204643,0.0700007,0.15,1.29420235524e-07,-4.34688923715e-06,3.34987651059e-08,202,0
202,0.226147,0.0710904,0.1,-3.24966040922e-28,0,0,203,0
203,0.226147,0.0710904,0.15,8.9618333636e-08,-3.65535026535e-06,2.86346042552e-08,204,0
204,0.307002,0.0710483,0.1,0,0,0,205,0
205,0.3124,0.0708115,0.1,4.06207601438e-29,0,0,206,0
206,0.3124,0.0708115,0.15,-5.27343208025e-09,-6.78431708247e-07,5.98387559471e-09,207,0
207,0.307002,0.0710483,0.15,-3.23927533141e-09,-6.94729823668e-07,6.5685144416e-09,208,0
208,0.323139,0.0702981,0.1,-8.12415202876e-29,0,0,209,0
209,0.323139,0.0702981,0.15,-1.06883128224e-08,-6.96211653383e-07,6.17358178015e-09,210,0
210,0.301626,0.0712229,0.1,2.03103800719e-29,0,0,211,0
211,0.301626,0.0712229,0.15,-1.40964407088e-09,-7.31316655924e-07,6.35065007214e-09,212,0
212,0.375484,0.0662194,0.1,0,0,0,213,0
213,0.375484,0.0662194,0.15,-1.57979702344e-08,-8.18908943953e-07,3.60985545811e-09,214,0
214,0.387868,0.0649724,0.1,0,0,0,215,0
215,0.393162,0.0644176,0.1,0,0,0,216,0
216,0.393162,0.0644176,0.15,4.51483362581e-08,-3.64981075261e-07,1.44799423423e-09,217,0
217,0.387868,0.0649724,0.15,1.97540754103e-08,-5.56295811288e-07,2.0909789947e-09,218,0
218,0.414322,0.0618159,0.1,0,0,0,219,0
219,0.419363,0.0611475,0.1,6.49932182415e-28,0,0,220,0
220,0.419363,0.0611475,0.15,3.24831073128e-07,1.51237950402e-06,-7.81866318819e-09,221,0
221,0.414322,0.0618159,0.15,2.48388814497e-07,1.0175998409e-06,-6.20404809449e-09,222,0
222,0.398466,0.0637733,0.1,0,0,0,223,0
223,0.398466,0.0637733,0.15,8.19640606175e-08,-1.14534353907e-07,-2.99140225078e-10,224,0
224,0.409073,0.0624846,0.1,0,0,0,225,0
225,0.409073,0.0624846,0.15,1.82052847735e-07,5.75065486722e-07,-4.22440244404e-09,226,0
226,0.644298,0.0198798,0.1,0,0,0,227,0
227,0.644298,0.0198798,0.15,1.53913470689e-05,8.28603091246e-05,-2.25233188618e-07,228,0
228,0.769305,-0.012054,0.1,3.32765208203e-25,0,0,229,0
229,0.773716,-0.0132957,0.1,0,0,0,230,0
230,0.773716,-0.0132957,0.15,-0.000401247384149,-0.0013180771724,3.32292318063e-06,231,0
231,0.769305,-0.012054,0.15,-0.000360873106174,-0.00118731530471,3.06573611535e-06,232,0
232,0.86683,-0.078349,0.1,0,0,0,233,0
233,0.861509,-0.0779844,0.1,8.3191312108e-26,0,0,234,0
234,0.861509,-0.0779844,0.15,-0.0249278374958,-0.357098634258,0.000246308781773,235,0
235,0.86683,-0.078349,0.15,-0.0241109303395,-0.342814173959,0.000418504253654,236,0
236,0.856432,-0.0776336,0.1,0,0,0,237,0
237,0.856432,-0.0776336,0.15,-0.0257104797286,-0.37060476687,0.000157319044043,238,0
238,0.872186,-0.078716,0.1,-1.06484862602e-23,0,0,239,0
239,0.872186,-0.078716,0.15,-0.0232920419122,-0.328380162907,0.00065077276425,240,0
240,0.877556,-0.0791301,0.1,0,0,0,241,0
241,0.877556,-0.0791301,0.15,-0.022338376778,-0.313894156065,0.000355549421219,242,0
242,0.942224,-0.0840255,0.1,0,0,0,243,0
243,0.942224,-0.0840255,0.15,-0.0105229119028,-0.140693365206,8.90336776918e-05,244,0
244,0.963606,-0.08572,0.1,6.65530516978e-25,0,0,245,0
245,0.963606,-0.08572,0.15,-0.00640105380488,-0.0856914446629,5.63565466322e-05,246,0
246,0.145423,-0.0415721,0.1,0,0,0,247,0
247,0.145423,-0.0415721,0.15,-0.0036985761654,-0.0627263325629,-0.00029338035881,248,0
248,0.870442,-0.0423492,0.1,6.65530516978e-25,0,0,249,0
249,0.877955,-0.0447469,0.1,0,0,0,250,0
250,0.877955,-0.0447469,0.15,-0.00287302785193,-0.0087814733459,3.2584936591e-05,251,0
251,0.870442,-0.0423492,0.15,-0.00256860608162,-0.00789547615568,2.56401194687e-05,252,0
252,0.039828,0.037197,0.1,0,0,0,253,0
253,0.039828,0.037197,0.15,2.49087287917e-05,-4.55936796923e-05,2.71489326851e-06,254,0
254,0.554181,0.0390762,0.1,0,0,0,255,0
255,0.554181,0.0390762,0.15,1.01888112979e-05,5.32879502456e-05,-1.6454957652e-07,256,0
256,0.0910224,-0.036454,0.1,2.66212206791e-24,0,0,257,0
257,0.0861135,-0.0358225,0.1,0,0,0,258,0
258,0.0861135,-0.0358225,0.15,0.00113964109948,0.00290864144772,2.60208453116e-05,259,0
259,0.0910224,-0.036454,0.15,0.000931339127825,0.00101265571515,2.30559890736e-06,260,0
260,0.0808727,-0.0351114,0.1,5.32424413583e-24,0,0,261,0
261,0.0808727,-0.0351114,0.15,0.00130519086581,0.00434663881256,5.01436833908e-05,262,0
262,0.0985197,-0.0373488,0.1,0,0,0,263,0
263,0.0985197,-0.0373488,0.15,0.000552976327674,-0.0027448366078,-3.78723753514e-05,264,0
264,0.103028,-0.0378478,0.1,-1.33106103396e-24,0,0,265,0
265,0.103028,-0.0378478,0.15,0.000286858256393,-0.00561533607647,-6.22771171018e-05,266,0
266,0.124024,-0.039861,0.1,0,0,0,267,0
267,0.124024,-0.039861,0.15,-0.0014155184888,-0.0271941096845,-0.000170653701178,268,0
268,0.74802,-0.00616036,0.1,0,0,0,269,0
269,0.74802,-0.00616036,0.15,-0.000207166210633,-0.000683590656059,2.30058236968e-06,270,0
270,0.909663,-0.0814915,0.1,0,0,0,271,0
271,0.904314,-0.081094,0.1,0,0,0,272,0
272,0.904314,-0.081094,0.15,-0.0175962400886,-0.241069476832,0.000292733378319,273,0
273,0.909663,-0.0814915,0.15,-0.0166361483955,-0.226537910817,0.000308009680932,274,0
274,0.898959,-0.0807167,0.1,1.33106103396e-24,0,0,275,0
275,0.898959,-0.0807167,0.15,-0.018508107447,-0.25568914403,0.000115012473797,276,0
276,0.898792,-0.0516034,0.1,-3.32765208203e-25,0,0,277,0
277,0.898792,-0.0516034,0.15,-0.00386154927384,-0.0115874879784,2.63423040002e-05,278,0
278,0.915013,-0.0819046,0.1,0,0,0,279,0
279,0.915013,-0.0819046,0.15,-0.0156361195109,-0.21211546556,0.000223257147472,280,0
280,0.920317,-0.0823041,0.1,0,0,0,281,0
281,0.920317,-0.0823041,0.15,-0.0146763194769,-0.197961246164,0.000258109814548,282,0
282,0.915316,-0.0571262,0.1,2.66212206791e-24,0,0,283,0
283,0.919709,-0.0586277,0.1,1.33106103396e-24,0,0,284,0
284,0.919709,-0.0586277,0.15,-0.00497800950384,-0.0147094378782,3.53175617312e-05,285,0
285,0.915316,-0.0571262,0.15,-0.00473908030243,-0.0140503887319,3.82848417574e-05,286,0
286,0.985031,-0.0874714,0.1,0,0,0,287,0
287,0.985031,-0.0874714,0.15,-0.00246583947112,-0.0358191249843,-7.16954051082e-05,288,0
288,0.466839,0.054298,0.1,6.49932182415e-28,0,0,289,0
289,0.474385,0.0531381,0.1,-8.12415202876e-29,0,0,290,0
290,0.474385,0.0531381,0.15,2.14090903273e-06,1.23074335474e-05,-5.07546490033e-08,291,0
291,0.466839,0.054298,0.15,1.76899632535e-06,1.01721062677e-05,-3.45427641243e-08,292,0
292,0.571243,0.0357275,0.1,0,0,0,293,0
293,0.571243,0.0357275,0.15,1.26863591491e-05,6.52590706013e-05,-2.53779480489e-07,294,0
294,0.576065,0.0347811,0.1,0,0,0,295,0
295,0.576065,0.0347811,0.15,1.33799045349e-05,6.85977634914e-05,-3.37472587165e-07,296,0
296,0.0159357,-0.0181008,0.1,0,0,0,297,0
297,0.012178,-0.0159818,0.1,5.32424413583e-24,0,0,298,0
298,0.012178,-0.0159818,0.15,-0.000165888794959,3.25557203882e-05,2.93854455815e-06,299,0
299,0.0159357,-0.0181008,0.15,-7.64433146376e-05,0.00019578617278,1.88680550885e-05,300,0
300,0.683825,-0.066686,0.1,0,0,0,301,0
301,0.683825,-0.066686,0.15,-0.0441765077978,-0.794665127663,0.000663145247849,302,0
302,0.705288,-0.0679205,0.1,-2.66212206791e-24,0,0,303,0
303,0.705288,-0.0679205,0.15,-0.0428007615622,-0.747904117353,0.000365740193673,304,0
304,0.764809,-0.0107888,0.1,0,0,0,305,0
305,0.764809,-0.0107888,0.15,-0.00032342004619,-0.00106623551565,3.11271838434e-06,306,0
306,0.771177,-0.0718751,0.1,2.66212206791e-24,0,0,307,0
307,0.771177,-0.0718751,0.15,-0.0368182487198,-0.588245866215,0.000304495791397,308,0
308,0.851932,-0.0773221,0.1,2.66212206791e-24,0,0,309,0
309,0.851932,-0.0773221,0.15,-0.0263928314366,-0.382380857757,0.000104335133394,310,0
310,0.844538,-0.0768092,0.1,5.32424413583e-24,0,0,311,0
311,0.844538,-0.0768092,0.15,-0.0274922859257,-0.401416848183,5.5695325128e-05,312,0
312,0.888251,-0.0799488,0.1,5.32424413583e-24,0,0,313,0
313,0.882905,-0.0795508,0.1,0,0,0,314,0
